year	month	data-type	region	extent	area	time
1991	4	Goddard	S	7.05	5.18	1991.29166666667
1991	5	Goddard	N	13.47	11.5	1991.375
1991	5	Goddard	S	10.28	7.86	1991.375
1991	6	Goddard	N	12.11	9.66	1991.45833333333
1991	6	Goddard	S	13.07	9.99	1991.45833333333
1991	7	Goddard	N	9.51	6.76	1991.54166666667
1991	7	Goddard	S	15.55	12.22	1991.54166666667
1991	8	Goddard	N	7.42	5.21	1991.625
1991	8	Goddard	S	17.72	14.05	1991.625
1991	9	Goddard	N	6.47	4.51	1991.70833333333
1991	9	Goddard	S	18.31	14.47	1991.70833333333
1991	10	Goddard	N	8.54	6.75	1991.79166666667
1991	10	Goddard	S	17.92	13.8	1991.79166666667
1991	11	Goddard	N	10.88	9.25	1991.875
1991	11	Goddard	S	15.58	11.46	1991.875
1991	12	Goddard	N	12.95	11.19	1991.95833333333
1991	12	Goddard	S	10.19	6.8	1991.95833333333
1992	1	Goddard	N	14.64	12.61	1992.04166666667
1992	1	Goddard	S	4.75	3.24	1992.04166666667
1992	2	Goddard	N	15.46	13.58	1992.125
1992	2	Goddard	S	2.84	1.86	1992.125
1992	3	Goddard	N	15.48	13.48	1992.20833333333
1992	3	Goddard	S	3.57	2.47	1992.20833333333
1992	4	Goddard	N	14.68	12.84	1992.29166666667
1992	4	Goddard	S	6.79	5	1992.29166666667
1992	5	Goddard	N	13.22	11.43	1992.375
1992	5	Goddard	S	9.92	7.62	1992.375
1992	6	Goddard	N	12.15	9.95	1992.45833333333
1992	6	Goddard	S	12.81	10	1992.45833333333
1992	7	Goddard	N	10.32	7.22	1992.54166666667
1992	7	Goddard	S	15.89	12.58	1992.54166666667
1992	8	Goddard	N	7.93	5.44	1992.625
1992	8	Goddard	S	17.73	14.17	1992.625
1992	9	Goddard	N	7.47	5.43	1992.70833333333
1992	9	Goddard	S	18.15	14.13	1992.70833333333
1992	10	Goddard	N	9.32	7.74	1992.79166666667
1992	10	Goddard	S	17.93	13.85	1992.79166666667
1992	11	Goddard	N	11.38	9.75	1992.875
1992	11	Goddard	S	15.9	11.2	1992.875
1992	12	Goddard	N	13.41	11.72	1992.95833333333
1992	12	Goddard	S	10.21	6.18	1992.95833333333
1993	1	Goddard	N	14.9	12.93	1993.04166666667
1993	1	Goddard	S	4.41	2.55	1993.04166666667
1993	2	Goddard	N	15.69	13.61	1993.125
1993	2	Goddard	S	2.48	1.37	1993.125
1993	3	Goddard	N	15.81	13.77	1993.20833333333
1993	3	Goddard	S	3.67	2.24	1993.20833333333
1993	4	Goddard	N	15.08	13.03	1993.29166666667
1993	4	Goddard	S	6.65	4.9	1993.29166666667
1993	5	Goddard	N	13.37	11.42	1993.375
1993	5	Goddard	S	10.1	7.89	1993.375
1993	6	Goddard	N	11.87	9.26	1993.45833333333
1993	6	Goddard	S	13.15	10.37	1993.45833333333
1993	7	Goddard	N	9.48	6.28	1993.54166666667
1993	7	Goddard	S	15.85	12.72	1993.54166666667
1993	8	Goddard	N	7.33	4.76	1993.625
1993	8	Goddard	S	17.49	13.93	1993.625
1993	9	Goddard	N	6.4	4.58	1993.70833333333
1993	9	Goddard	S	18.54	14.7	1993.70833333333
1993	10	Goddard	N	8.79	7.06	1993.79166666667
1993	10	Goddard	S	18.13	14.17	1993.79166666667
1993	11	Goddard	N	11.32	9.54	1993.875
1993	11	Goddard	S	16.04	11.83	1993.875
1993	12	Goddard	N	13.32	11.48	1993.95833333333
1993	12	Goddard	S	9.93	6.67	1993.95833333333
1994	1	Goddard	N	14.73	12.88	1994.04166666667
1994	1	Goddard	S	4.97	3.37	1994.04166666667
1994	2	Goddard	N	15.56	13.52	1994.125
1994	2	Goddard	S	3.2	2.22	1994.125
1994	3	Goddard	N	15.55	13.55	1994.20833333333
1994	3	Goddard	S	4.55	3.2	1994.20833333333
1994	4	Goddard	N	14.89	12.91	1994.29166666667
1994	4	Goddard	S	7.22	5.45	1994.29166666667
1994	5	Goddard	N	13.62	11.66	1994.375
1994	5	Goddard	S	10.41	8.21	1994.375
1994	6	Goddard	N	12.02	9.68	1994.45833333333
1994	6	Goddard	S	13.56	10.73	1994.45833333333
1994	7	Goddard	N	9.93	6.92	1994.54166666667
