sex	age	perceivedWeight	height	weight
Male	17	About the right weight	167.64	66.678024
Female	19	Slightly overweight	165.1	77.11064
Male	15	Slightly overweight	172.72	90.264808
Female	17	About the right weight	180.34	61.23492
Female	17	About the right weight	160.02	56.699
Male	17	Very overweight	185.42	127.00576
Male	15		177.8	81.64656
Female	16	Slightly overweight	157.48	46.719976
Female	16	About the right weight	172.72	57.606184
Male	15	About the right weight	190.5	74.389088
Male	15	Slightly underweight	165.1	54.43104
Female	18	About the right weight	162.56	49.89512
Female	19	About the right weight	170.18	56.699
Female	17	About the right weight	152.4	48.987936
Male	17	Slightly overweight	175.26	117.93392
Male	16	Slightly overweight	172.72	99.79024
Male	17	Slightly overweight	182.88	104.32616
Female	15	About the right weight	167.64	54.43104
Male	15	About the right weight	185.42	73.028312
Male	17	Slightly underweight	180.34	65.77084
Female	15	About the right weight	157.48	45.3592
Male	18	Very overweight	170.18	105.233344
Female	15	About the right weight	167.64	52.16308
Male	19	About the right weight	175.26	61.23492
Male	19	About the right weight	170.18	72.57472
Female	18	Slightly overweight	152.4	77.11064
Male	17	About the right weight	167.64	64.410064
Female	16	Slightly underweight	157.48	46.719976
Male	16	Slightly underweight	172.72	54.43104
Male	18	About the right weight	177.8	77.11064
Female	16	About the right weight	149.86	49.89512
Female	19	Very overweight	157.48	-0.907184
Male	18	About the right weight	167.64	77.11064
Male	16	About the right weight	162.56	63.50288
Male	16	Slightly underweight	177.8	58.96696
Female	19	Slightly overweight	162.56	72.57472
Male	18	About the right weight	170.18	58.96696
Male	17	About the right weight	175.26	79.3786
Male	16	About the right weight	172.72	68.0388
Male	17	Slightly overweight	172.72	72.57472
Female	17	Slightly overweight	157.48	58.96696
Female	17	Slightly overweight	167.64	61.23492
Female	17	About the right weight	167.64	61.23492
Female	16	Slightly overweight	162.56	54.43104
Female	18	About the right weight	160.02	62.595696
Female	19	Slightly underweight	160.02	45.3592
Male	16	About the right weight	185.42	83.91452
Male	17	About the right weight	187.96	99.79024
Female	16	Very overweight	175.26	-0.453592
Female	18	About the right weight	160.02	49.89512
Female	17	About the right weight	165.1	61.23492
Female	15	About the right weight	170.18	58.96696
Male	16	About the right weight	182.88	74.84268
Male	18	About the right weight	185.42	83.91452
Male	18	About the right weight	177.8	77.11064
Male	19	Slightly underweight	177.8	58.96696
Male	15	About the right weight	193.04	95.25432
Female	15	Slightly underweight	160.02	45.3592
Male	17	About the right weight	180.34	74.84268
Male	15	About the right weight	162.56	49.89512
Male	18	Slightly overweight	170.18	72.57472
Male	16	About the right weight	177.8	68.0388
Male	15	Slightly underweight	175.26	58.96696
Female	17	About the right weight	154.94	61.23492
Female	18	About the right weight	149.86	47.173568
Male	17	About the right weight	187.96	68.0388
Female	15	About the right weight	170.18	52.16308
Female	18	About the right weight	172.72	61.23492
Male	15	About the right weight	180.34	77.11064
Female	16	About the right weight	162.56	49.89512
Male	17	About the right weight	172.72	58.96696
Male	16	Slightly underweight	182.88	66.224432
Male	17	About the right weight	170.18	65.77084
Female	17	Very underweight	157.48	47.173568
Male	19	About the right weight	165.1	52.16308
